filename,extension,type,theme,period
FO-60-01489,tif,foto,huwelijk,60s
FO-60-01497,tif,foto,huwelijk,60s
FO-60-01499,tif,foto,huwelijk,60s
FO-60-01500,tif,foto,huwelijk,60s
FO-60-01501,tif,foto,huwelijk,60s
FO-60-01502,tif,foto,huwelijk,60s
FO-60-01503,tif,foto,huwelijk,60s
FO-60-01504,tif,foto,huwelijk,60s
FO-60-01510,tif,foto,huwelijk,60s
FO-60-01513,tif,foto,huwelijk,60s
FO-60-01515,tif,foto,huwelijk,60s
FO-60-01517,tif,foto,huwelijk,60s
FO-60-01521,tif,foto,huwelijk,60s
FO-60-01522,tif,foto,huwelijk,60s
FO-60-01525,tif,foto,huwelijk,60s
FO-60-01527,tif,foto,huwelijk,60s
FO-60-01528,tif,foto,huwelijk,60s
FO-60-01529,tif,foto,huwelijk,60s
FO-60-01530,tif,foto,huwelijk,60s
FO-60-01531,tif,foto,huwelijk,60s
FO-60-01533,tif,foto,huwelijk,60s
FO-60-01534,tif,foto,huwelijk,60s
FO-60-01536,tif,foto,huwelijk,60s
FO-60-01537,tif,foto,huwelijk,60s
FO-60-01538,tif,foto,huwelijk,60s
FO-60-01539,tif,foto,huwelijk,60s
FO-60-01542,tif,foto,huwelijk,60s
FO-60-01543,tif,foto,huwelijk,60s
FO-60-01544,tif,foto,huwelijk,60s
FO-60-01545,tif,foto,huwelijk,60s
FO-60-01546,tif,foto,huwelijk,60s
FO-60-01547,tif,foto,huwelijk,60s
FO-60-01548,tif,foto,huwelijk,60s
FO-60-01549,tif,foto,huwelijk,60s
FO-60-01550,tif,foto,huwelijk,60s
FO-60-01551,tif,foto,huwelijk,60s
FO-60-01564,tif,foto,huwelijk,60s
FO-60-01566,tif,foto,huwelijk,60s
FO-60-01567,tif,foto,huwelijk,60s
FO-60-01570,tif,foto,huwelijk,60s
FO-60-01571,tif,foto,huwelijk,60s
FO-60-01572,tif,foto,huwelijk,60s
FO-60-01573,tif,foto,huwelijk,60s
FO-60-01574,tif,foto,huwelijk,60s
FO-60-01575,tif,foto,huwelijk,60s
FO-60-01577,tif,foto,huwelijk,60s
FO-60-01578,tif,foto,huwelijk,60s
FO-60-01586,tif,foto,huwelijk,60s
FO-60-01591,tif,foto,huwelijk,60s
FO-60-01592,tif,foto,huwelijk,60s
FO-60-01593,tif,foto,huwelijk,60s
FO-60-01594,tif,foto,huwelijk,60s
FO-60-01595,tif,foto,huwelijk,60s
FO-60-01597,tif,foto,huwelijk,60s
FO-60-01598,tif,foto,huwelijk,60s
FO-60-01599,tif,foto,huwelijk,60s
FO-60-01612,tif,foto,huwelijk,60s
FO-60-01616,tif,foto,huwelijk,60s
FO-60-01688,tif,foto,speelgoed,60s
FO-60-01791,tif,foto,speelgoed,60s
FO-60-01801,tif,foto,geboorte,60s
FO-60-01852,tif,foto,speelgoed,60s
FO-70-00002,tif,foto,huwelijk,70s
FO-70-00003,tif,foto,huwelijk,70s
FO-70-00005,tif,foto,huwelijk,70s
FO-70-00006,tif,foto,speelgoed,70s
FO-70-00015,tif,foto,speelgoed,70s
FO-70-00030,tif,foto,geboorte,70s
FO-70-00032,tif,foto,geboorte,70s
FO-70-00041,tif,foto,vakantie,70s
FO-70-00042,tif,foto,vakantie,70s
FO-70-00062,tif,foto,speelgoed,70s
FO-70-00100,tif,foto,huwelijk,70s
FO-70-00115,tif,foto,geboorte,70s
FO-70-00142,tif,foto,huwelijk,70s
FO-70-00149,tif,foto,geboorte,70s
FO-70-00153,tif,foto,speelgoed,70s
FO-70-00155,tif,foto,speelgoed,70s
FO-70-00185,tif,foto,speelgoed,70s
FO-70-00193,tif,foto,geboorte,70s
FO-70-00200,tif,foto,huwelijk,70s
FO-70-00202,tif,foto,speelgoed,70s
FO-70-00215,tif,foto,speelgoed,70s
FO-70-00217,tif,foto,huwelijk,70s
FO-70-00232,tif,foto,speelgoed,70s
FO-70-00234,tif,foto,geboorte,70s
FO-70-00249_a3,tif,foto,sint,70s
FO-70-00251,tif,foto,vakantie,70s
FO-70-00254,tif,foto,sint,70s
FO-70-00310,tif,foto,geboorte,70s
FO-70-00338,tif,foto,geboorte,70s
FO-70-00399,tif,foto,huwelijk,70s
FO-70-00401,tif,foto,huwelijk,70s
FO-70-00402,tif,foto,huwelijk,70s
FO-70-00424,tif,foto,huwelijk,70s
FO-70-00457,tif,foto,speelgoed,70s
FO-70-00470,tif,foto,speelgoed,70s
FO-70-00471,tif,foto,speelgoed,70s
FO-70-00510,tif,foto,speelgoed,70s
FO-70-00530,tif,foto,huwelijk,70s
FO-70-00531,tif,foto,huwelijk,70s
FO-70-00535,tif,foto,huwelijk,70s
FO-70-00538,jpg,foto,vakantie,70s
FO-70-00539,jpg,foto,vakantie,70s
FO-70-00542,tif,foto,huwelijk,70s
FO-70-00562,tif,foto,speelgoed,70s
FO-70-00593,tif,foto,speelgoed,70s
FO-70-00621,tif,foto,speelgoed,70s
FO-70-00631,tif,foto,vakantie,70s
FO-70-00662,tif,foto,huwelijk,70s
FO-70-00809,tif,foto,huwelijk,70s
FO-70-00844,tif,foto,huwelijk,70s
FO-70-00867,tif,foto,speelgoed,70s
FO-70-00870,tif,foto,speelgoed,70s
FO-70-00899,tif,foto,geboorte,70s
FO-70-00900,tif,foto,geboorte,70s
FO-70-00908,tif,foto,huwelijk,70s
FO-70-00912,tif,foto,huwelijk,70s
FO-70-00937,tif,foto,speelgoed,70s
FO-70-00955,tif,foto,geboorte,70s
FO-70-00956,tif,foto,geboorte,70s
FO-70-00959,tif,foto,geboorte,70s
FO-70-00960,tif,foto,geboorte,70s
FO-70-00961,tif,foto,geboorte,70s
FO-70-00977,tif,foto,geboorte,70s
FO-70-01000,tif,foto,huwelijk,70s
FO-70-01003,tif,foto,huwelijk,70s
FO-70-01005,tif,foto,huwelijk,70s
FO-70-01006,tif,foto,huwelijk,70s
FO-70-01007,tif,foto,huwelijk,70s
FO-70-01010,tif,foto,huwelijk,70s
FO-70-01012,tif,foto,huwelijk,70s
FO-70-01014,tif,foto,huwelijk,70s
FO-70-01016,tif,foto,huwelijk,70s
FO-70-01019,tif,foto,huwelijk,70s
FO-70-01024,tif,foto,huwelijk,70s
FO-70-01025,tif,foto,huwelijk,70s
FO-70-01026,tif,foto,huwelijk,70s
FO-70-01029,tif,foto,huwelijk,70s
FO-70-01030,tif,foto,huwelijk,70s
FO-70-01033,tif,foto,huwelijk,70s
FO-70-01035,tif,foto,huwelijk,70s
FO-70-01036,tif,foto,huwelijk,70s
FO-70-01038,tif,foto,huwelijk,70s
FO-70-01039,tif,foto,huwelijk,70s
FO-70-01040,tif,foto,huwelijk,70s
FO-70-01041,tif,foto,huwelijk,70s
FO-70-01042,tif,foto,huwelijk,70s
FO-70-01043,tif,foto,huwelijk,70s
FO-70-01044,tif,foto,huwelijk,70s
FO-70-01046,tif,foto,huwelijk,70s
FO-70-01049,tif,foto,huwelijk,70s
FO-70-01050,tif,foto,huwelijk,70s
FO-70-01051,tif,foto,huwelijk,70s
FO-70-01052,tif,foto,huwelijk,70s
FO-70-01054,tif,foto,huwelijk,70s
FO-70-01055,tif,foto,huwelijk,70s
FO-70-01057,tif,foto,huwelijk,70s
FO-70-01058,tif,foto,huwelijk,70s
FO-70-01059,tif,foto,huwelijk,70s
FO-80-00008,tif,foto,geboorte,80s
FO-80-00012,tif,foto,geboorte,80s
FO-80-00016,tif,foto,geboorte,80s
FO-80-00017,tif,foto,geboorte,80s
FO-80-00018,tif,foto,geboorte,80s
FO-80-00023,tif,foto,speelgoed,80s
FO-80-00027,tif,foto,speelgoed,80s
FO-80-00041,tif,foto,geboorte,80s
FO-80-00042,tif,foto,geboorte,80s
FO-80-00053,tif,foto,huwelijk,80s
FO-80-00055,tif,foto,huwelijk,80s
FO-80-00080,tif,foto,speelgoed,80s
FO-80-00082,tif,foto,speelgoed,80s
FO-80-00106,tif,foto,speelgoed,80s
FO-80-00129,tif,foto,huwelijk,80s
FO-80-00158,tif,foto,speelgoed,80s
FO-80-00160,tif,foto,speelgoed,80s
FO-80-00163,tif,foto,geboorte,80s
FO-80-00215,tif,foto,speelgoed,80s
FO-80-00225,tif,foto,vakantie,80s
FO-80-00246,tif,foto,geboorte,80s
FO-80-00289,tif,foto,huwelijk,80s
FO-80-00328,tif,foto,vakantie,80s
FO-80-00334,tif,foto,speelgoed,80s
FO-80-00405,tif,foto,huwelijk,80s
FO-80-00411,tif,foto,vakantie,80s
FO-80-00412,tif,foto,vakantie,80s
FO-80-00413,tif,foto,vakantie,80s
FO-80-00414,tif,foto,vakantie,80s
FO-80-00447,tif,foto,huwelijk,80s
FO-80-00451,tif,foto,vakantie,80s
FO-80-00452,tif,foto,vakantie,80s
FO-80-00476,tif,foto,huwelijk,80s
FO-80-00482_a3,tif,foto,vakantie,80s
FO-80-00492,tif,foto,huwelijk,80s
FO-80-00496,tif,foto,huwelijk,80s
FO-80-00497,tif,foto,huwelijk,80s
FO-80-00498,tif,foto,huwelijk,80s
FO-80-00500,tif,foto,huwelijk,80s
FO-80-00502,tif,foto,speelgoed,80s
FO-80-00505,TIF,foto,geboorte,80s
FO-80-00535,tif,foto,speelgoed,80s
FO-80-00551,tif,foto,vakantie,80s
FO-80-00556,tif,foto,vakantie,80s
FO-80-00557,tif,foto,vakantie,80s
FO-80-00559,tif,foto,vakantie,80s
FO-80-00560,tif,foto,vakantie,80s
FO-80-00570,tif,foto,huwelijk,80s
FO-80-00637,tif,foto,speelgoed,80s
FO-80-00638,tif,foto,speelgoed,80s
FO-80-00703,tif,foto,speelgoed,80s
FO-80-00709,tif,foto,speelgoed,80s
FO-80-00714,tif,foto,speelgoed,80s
FO-80-00725,tif,foto,geboorte,80s
FO-90-00005,tif,foto,speelgoed,90s
FO-90-00006,tif,foto,speelgoed,90s
FO-90-00026,tif,foto,speelgoed,90s
FO-90-00076,tif,foto,geboorte,90s
FO-90-00085,tif,foto,geboorte,90s
FO-90-00096,tif,foto,vakantie,90s
FO-90-00097,tif,foto,vakantie,90s
FO-90-00122,tif,foto,huwelijk,90s
FO-90-00153,tif,foto,huwelijk,90s
FO-90-00157,tif,foto,huwelijk,90s
FO-90-00162,tif,foto,speelgoed,90s
FO-90-00174,tif,foto,speelgoed,90s
FO-90-00183,tif,foto,huwelijk,90s
FO-90-00184,tif,foto,huwelijk,90s
FO-90-00190,tif,foto,huwelijk,90s
FO-90-00191,tif,foto,huwelijk,90s
FO-90-00196,tif,foto,huwelijk,90s
FO-90-00199,tif,foto,huwelijk,90s
FO-90-00259,tif,foto,geboorte,90s
FO-90-00279,tif,foto,speelgoed,90s
